wavelength,front_ref,transmittance
381.56021,0.15474,0
386.5686,0.101,0
391.577,0.07838,0
396.58539,0.07512,0
401.59381,0.06754,0
406.6022,0.06398,0
411.6106,0.06792,0
416.61899,0.06482,0
421.62741,0.06468,0
426.6358,0.06502,0
431.6441,0.06742,0
436.6525,0.06762,0
441.66089,0.06936,0
446.66931,0.06986,0
451.6777,0.06868,0
456.6861,0.0696,0
461.69449,0.06896,0
466.70291,0.0667,0
471.7113,0.06792,0
476.7197,0.06956,0
481.72809,0.07186,0
486.73651,0.0721,0
491.7449,0.07214,0
496.7533,0.07378,0
501.76169,0.07712,0
506.77011,0.07832,0
511.7785,0.0808,0
516.78693,0.0819,0
521.79529,0.0817,0
526.80371,0.08482,0
531.81207,0.08762,0
536.82037,0.0907,0
541.8288,0.09298,0
546.83722,0.09444,0
551.84558,0.09562,0
556.854,0.09894,0
561.86243,0.10034,0
566.87079,0.09978,0
571.87921,0.10316,0
576.88757,0.10408,0
581.896,0.10636,0
586.90442,0.10758,0
591.91278,0.10958,0
596.9212,0.10924,0
601.92963,0.11094,0
606.93799,0.11216,0
611.94641,0.11274,0
616.95477,0.11454,0
621.9632,0.11374,0
626.97162,0.1148,0
631.97998,0.1151,0
636.9884,0.1156,0
641.9967,0.11758,0
647.00513,0.11926,0
652.01349,0.11878,0
657.02191,0.11842,0
662.03027,0.11962,0
667.0387,0.12118,0
672.04712,0.12232,0
677.05548,0.12292,0
682.0639,0.12268,0
687.07233,0.12374,0
692.08069,0.1258,0
697.08911,0.12708,0
702.09747,0.12846,0
707.1059,0.13052,0
712.11432,0.13238,0
717.12268,0.12986,0
722.1311,0.1322,0
727.13953,0.13576,0
732.14789,0.13936,0
737.15631,0.14092,0
742.16467,0.14326,0
747.17297,0.1461,0
752.1814,0.14634,0
757.18982,0.14198,0
762.19818,0.13674,0
767.2066,0.15306,0
772.21503,0.15386,0
777.22339,0.15504,0
782.23181,0.15638,0
787.24017,0.15694,0
792.2486,0.15722,0
797.25702,0.15834,0
802.26538,0.158,0
807.2738,0.15896,0
812.28223,0.1572,0
817.29059,0.15694,0
822.29901,0.1589,0
827.30737,0.1597,0
832.3158,0.1605,0
837.32422,0.16432,0
842.33258,0.16618,0
847.341,0.16684,0
852.3493,0.16656,0
857.35773,0.16726,0
862.36609,0.16742,0
867.37451,0.1696,0
872.38287,0.1678,0
877.3913,0.16872,0
882.39972,0.16984,0
887.40808,0.16968,0
892.4165,0.16744,0
897.42493,0.1637,0
902.43329,0.16634,0
907.44171,0.16622,0
912.45007,0.16504,0
917.4585,0.16602,0
