wavelength,front_ref,transmittance
400,0.06924438,0
401,0.069305381,0
402,0.069366383,0
403,0.069427385,0
404,0.069488386,0
405,0.069549388,0
406,0.06961039,0
407,0.069671391,0
408,0.069732393,0
409,0.069793395,0
410,0.069854396,0
411,0.069915398,0
412,0.0699764,0
413,0.070037401,0
414,0.070098403,0
415,0.070159405,0
416,0.070220406,0
417,0.070281408,0
418,0.070342409,0
419,0.070403411,0
420,0.070464413,0
421,0.070525414,0
422,0.070586416,0
423,0.070647418,0
424,0.070708419,0
425,0.070769421,0
426,0.070830423,0
427,0.070891424,0
428,0.070952426,0
429,0.071013428,0
430,0.071074429,0
431,0.071135431,0
432,0.071196433,0
433,0.071257434,0
434,0.071318436,0
435,0.071379438,0
436,0.071440439,0
437,0.071501441,0
438,0.071562442,0
439,0.071623444,0
440,0.071684446,0
441,0.071745447,0
442,0.071806449,0
443,0.071867453,0
444,0.071928526,0
445,0.071989809,0
446,0.072051447,0
447,0.072113584,0
448,0.072176365,0
449,0.072239936,0
450,0.07230444,0
451,0.072370023,0
452,0.07243683,0
453,0.072505004,0
454,0.072574692,0
455,0.072646037,0
456,0.072719185,0
457,0.072794281,0
458,0.072871468,0
459,0.072950892,0
460,0.073032698,0
461,0.073117031,0
462,0.073204035,0
463,0.073293855,0
464,0.073386635,0
465,0.073482521,0
466,0.073581658,0
467,0.07368419,0
468,0.073790262,0
469,0.073900018,0
470,0.074013604,0
471,0.074131165,0
472,0.074252844,0
473,0.074378787,0
474,0.074509139,0
475,0.074644045,0
476,0.074783648,0
477,0.074928095,0
478,0.07507753,0
479,0.075232097,0
480,0.075391941,0
481,0.075557208,0
482,0.075728041,0
483,0.075904586,0
484,0.076086988,0
485,0.076275391,0
486,0.07646994,0
487,0.07667078,0
488,0.076878055,0
489,0.077091911,0
490,0.077312493,0
491,0.07753992,0
492,0.077774075,0
493,0.078014696,0
494,0.078261519,0
495,0.078514281,0
496,0.078772719,0
497,0.079036568,0
498,0.079305567,0
499,0.079579451,0
500,0.079857957,0
501,0.080140822,0
502,0.080427782,0
503,0.080718575,0
504,0.081012935,0
505,0.081310601,0
506,0.081611309,0
507,0.081914796,0
508,0.082220797,0
509,0.08252905,0
510,0.082839292,0
511,0.083151259,0
512,0.083464687,0
513,0.083779314,0
514,0.084094875,0
515,0.084411108,0
516,0.084727749,0
517,0.085044535,0
518,0.085361203,0
519,0.085677488,0
520,0.085993128,0
521,0.086307859,0
522,0.086621419,0
523,0.086933542,0
524,0.087243968,0
525,0.08755243,0
526,0.087858668,0
527,0.088162416,0
528,0.088463412,0
529,0.088761393,0
530,0.089056094,0
531,0.089347281,0
532,0.089634899,0
533,0.089918963,0
534,0.090199486,0
535,0.090476483,0
536,0.09074997,0
537,0.09101996,0
538,0.091286469,0
539,0.09154951,0
540,0.091809099,0
541,0.092065251,0
542,0.092317979,0
543,0.092567299,0
544,0.092813225,0
545,0.093055772,0
546,0.093294954,0
547,0.093530787,0
548,0.093763284,0
549,0.09399246,0
550,0.09421833,0
551,0.094440909,0
552,0.094660221,0
553,0.094876459,0
554,0.095089967,0
555,0.095301093,0
556,0.095510185,0
557,0.095717593,0
558,0.095923664,0
559,0.096128746,0
560,0.096333189,0
561,0.09653734,0
