wavelength,front_ref,transmittance
400,0.041065263,5.09E-04
401,0.041095107,4.60E-04
402,0.041112922,4.16E-04
403,0.041158155,3.78E-04
404,0.041243976,3.48E-04
405,0.041331714,3.29E-04
406,0.041433851,3.18E-04
407,0.041549314,3.08E-04
408,0.041691127,2.99E-04
409,0.041820611,2.94E-04
410,0.041923756,2.87E-04
411,0.042013567,2.78E-04
412,0.042142891,2.71E-04
413,0.042286192,2.68E-04
414,0.042456014,2.68E-04
415,0.042599908,2.67E-04
416,0.042757319,2.69E-04
417,0.042901846,2.71E-04
418,0.043046754,2.75E-04
419,0.043204673,2.78E-04
420,0.043362359,2.78E-04
421,0.043493291,2.75E-04
422,0.043650712,2.72E-04
423,0.043808348,2.70E-04
424,0.04397983,2.71E-04
425,0.044164713,2.73E-04
426,0.044309688,2.71E-04
427,0.04438844,2.68E-04
428,0.044480705,2.67E-04
429,0.044599582,2.66E-04
430,0.044691643,2.63E-04
431,0.044770234,2.58E-04
432,0.044875524,2.54E-04
433,0.044967976,2.53E-04
434,0.045047278,2.52E-04
435,0.045113535,2.52E-04
436,0.045179821,2.51E-04
437,0.045233111,2.53E-04
438,0.045273369,2.56E-04
439,0.045313793,2.59E-04
440,0.045368006,2.66E-04
441,0.045423308,2.79E-04
442,0.04545265,2.95E-04
443,0.045482068,3.11E-04
444,0.045485616,3.31E-04
445,0.04550333,3.55E-04
446,0.045481505,3.80E-04
447,0.045460283,4.08E-04
448,0.045440596,4.43E-04
449,0.045409393,4.86E-04
450,0.045366435,5.34E-04
451,0.045324923,5.89E-04
452,0.04527265,6.52E-04
453,0.045221601,7.20E-04
454,0.045157965,7.88E-04
455,0.045095427,8.59E-04
456,0.04502051,9.32E-04
457,0.044960731,0.001010095
458,0.044900119,0.00108349
459,0.044826332,0.001155798
460,0.044765373,0.00122513
461,0.044690191,0.00128988
462,0.044613449,0.001348094
463,0.044536248,0.001403939
464,0.044460094,0.001462784
465,0.044386035,0.001528185
466,0.044336445,0.001585731
467,0.044273131,0.001641127
468,0.04422083,0.00168843
469,0.044195003,0.00173518
470,0.044155517,0.001780267
471,0.044125406,0.001812239
472,0.044082681,0.001846178
473,0.044052619,0.001877988
474,0.044022394,0.001909115
475,0.043991203,0.001936979
476,0.043972986,0.001963801
477,0.043944905,0.002001427
478,0.043917531,0.002041114
479,0.04388975,0.002079298
480,0.043852014,0.002127727
481,0.043819933,0.002193545
482,0.043765927,0.002273093
483,0.043715936,0.002364192
484,0.043647655,0.002479307
485,0.043586947,0.002615582
486,0.043496514,0.002779617
487,0.043403695,0.002972541
488,0.04331335,0.003206771
489,0.043201481,0.003487403
490,0.04309322,0.003808128
491,0.042976888,0.004171295
492,0.042860352,0.00459511
493,0.042744295,0.005078207
494,0.042641176,0.005615514
495,0.042550255,0.006234781
496,0.042484605,0.006931171
497,0.04245291,0.007720741
498,0.042458915,0.008607391
499,0.042501781,0.009585212
