wavelength,front_ref,transmittance
400,0.108234346,0
401,0.108232558,0
402,0.108506344,0
403,0.108666554,0
404,0.108769014,0
405,0.108934619,0
406,0.108968571,0
407,0.10937617,0
408,0.10924539,0
409,0.109335862,0
410,0.109619342,0
411,0.109717399,0
412,0.109959453,0
413,0.110074781,0
414,0.110319145,0
415,0.110267296,0
416,0.110599816,0
417,0.110630482,0
418,0.110716231,0
419,0.110785834,0
420,0.110827573,0
421,0.110841967,0
422,0.111152917,0
423,0.111333564,0
424,0.111277454,0
425,0.111509196,0
426,0.112143561,0
427,0.111882187,0
428,0.111982316,0
429,0.112107337,0
430,0.112150714,0
431,0.112308882,0
432,0.112411149,0
433,0.112866543,0
434,0.112865217,0
435,0.112985551,0
436,0.112999097,0
437,0.113275416,0
438,0.113569014,0
439,0.113625892,0
440,0.113548003,0
441,0.113965273,0
442,0.114060126,0
443,0.114331268,0
444,0.114352778,0
445,0.114769161,0
446,0.114793755,0
447,0.11500518,0
448,0.115201652,0
449,0.115140192,0
450,0.115544006,0
451,0.115735941,0
452,0.115601026,0
453,0.116129361,0
454,0.116015777,0
455,0.116187908,0
456,0.116505921,0
457,0.116706312,0
458,0.1167918,0
459,0.116918609,0
460,0.11690671,0
461,0.117156394,0
462,0.117420502,0
463,0.117592901,0
464,0.117649116,0
465,0.117774554,0
466,0.117968686,0
467,0.118019879,0
468,0.118105985,0
469,0.118384182,0
470,0.11836765,0
471,0.118366502,0
472,0.118803978,0
473,0.118862174,0
474,0.11895214,0
475,0.119251989,0
476,0.119310319,0
477,0.119323693,0
478,0.119316503,0
479,0.119326733,0
480,0.119733475,0
481,0.119978055,0
482,0.120213263,0
483,0.120179564,0
484,0.120429114,0
485,0.120568037,0
486,0.12063957,0
487,0.120726377,0
488,0.121010125,0
489,0.121169783,0
490,0.121215351,0
491,0.121328138,0
492,0.12144044,0
493,0.121647984,0
494,0.121909723,0
495,0.122074917,0
496,0.122240126,0
497,0.122356065,0
498,0.122393429,0
499,0.122549407,0
500,0.12256901,0
501,0.1225418,0
502,0.12276075,0
503,0.122976378,0
504,0.123033002,0
505,0.123115912,0
506,0.123253129,0
507,0.123327538,0
508,0.12357045,0
509,0.123713233,0
510,0.123745374,0
511,0.123866864,0
512,0.124106236,0
513,0.12435434,0
514,0.12448062,0
515,0.124660209,0
516,0.124742135,0
517,0.125013053,0
518,0.125113204,0
519,0.125266775,0
520,0.125346661,0
521,0.125435531,0
522,0.125506967,0
523,0.125742763,0
524,0.12595664,0
525,0.126136914,0
526,0.126303732,0
527,0.126491979,0
528,0.126656845,0
529,0.126735687,0
530,0.126955181,0
531,0.127091557,0
532,0.127290666,0
533,0.12746644,0
534,0.127589613,0
535,0.127791837,0
536,0.127933279,0
537,0.128101975,0
538,0.128286809,0
539,0.128370464,0
540,0.128537044,0
541,0.12881051,0
542,0.129051611,0
543,0.12919575,0
544,0.129300833,0
545,0.129481778,0
546,0.129699558,0
547,0.129905611,0
548,0.130063981,0
549,0.130198568,0
550,0.130438998,0
551,0.130638987,0
552,0.13078773,0
553,0.131025448,0
554,0.131307319,0
555,0.131443962,0
556,0.131540373,0
557,0.131731868,0
558,0.131954044,0
559,0.13221319,0
560,0.132480636,0
561,0.132590726,0
562,0.132535383,0
563,0.132745072,0
564,0.13296169,0
565,0.133128464,0
566,0.133426324,0
567,0.13365601,0
568,0.133778274,0
569,0.133959621,0
570,0.134227902,0
571,0.134352311,0
572,0.134611055,0
573,0.134909943,0
574,0.1350196,0
575,0.135246262,0
576,0.135492265,0
577,0.135751188,0
578,0.136034101,0
579,0.136191934,0
580,0.136382967,0
581,0.13668102,0
582,0.136856645,0
583,0.137214005,0
584,0.137461245,0
585,0.137548551,0
586,0.137822881,0
587,0.138014019,0
588,0.138202608,0
589,0.138507903,0
590,0.138804466,0
591,0.139024004,0
592,0.13924621,0
593,0.139522195,0
594,0.139671654,0
595,0.140129894,0
596,0.140306801,0
597,0.140559822,0
598,0.140767679,0
599,0.14113237,0
600,0.141251877,0
601,0.141556695,0
602,0.141961694,0
603,0.142247811,0
604,0.142384306,0
605,0.14265427,0
606,0.142942041,0
607,0.143238187,0
608,0.143554673,0
609,0.143723771,0
610,0.144003347,0
611,0.144327164,0
612,0.144579545,0
613,0.144779682,0
614,0.145058319,0
615,0.145376936,0
616,0.145851523,0
617,0.146148071,0
618,0.146394357,0
619,0.146522135,0
620,0.146830335,0
621,0.147291377,0
622,0.147521913,0
623,0.147861436,0
624,0.148350894,0
625,0.148537815,0
626,0.148856044,0
627,0.149139658,0
628,0.149540886,0
629,0.149843261,0
630,0.150021344,0
631,0.150416493,0
632,0.15080148,0
633,0.15106456,0
634,0.151522458,0
635,0.151744694,0
636,0.15228337,0
637,0.152387097,0
638,0.152885467,0
639,0.15314126,0
640,0.153192416,0
641,0.153682426,0
642,0.153852865,0
643,0.154532298,0
644,0.154862702,0
645,0.154804453,0
646,0.155654281,0
647,0.156075001,0
648,0.156226203,0
649,0.156437263,0
650,0.156801477,0
651,0.157317445,0
652,0.157322079,0
653,0.157871529,0
654,0.158639953,0
655,0.158782527,0
656,0.159023941,0
657,0.159304053,0
658,0.159879103,0
659,0.160189748,0
660,0.160407946,0
661,0.161091045,0
662,0.161455214,0
663,0.161566585,0
664,0.161791101,0
665,0.162408888,0
666,0.162668586,0
667,0.163314804,0
668,0.163583845,0
669,0.16379568,0
670,0.164470285,0
671,0.164580807,0
672,0.165062979,0
673,0.165473804,0
674,0.165965348,0
675,0.166498378,0
676,0.166977182,0
677,0.167226017,0
678,0.167749897,0
679,0.168315843,0
680,0.168612704,0
681,0.169013724,0
682,0.169382274,0
683,0.169783592,0
684,0.170421466,0
685,0.170764402,0
686,0.171190336,0
687,0.171851709,0
688,0.172431722,0
689,0.172996715,0
690,0.173350543,0
691,0.174032599,0
692,0.174621791,0
693,0.175307006,0
694,0.175901264,0
695,0.176487431,0
696,0.176904544,0
697,0.177573502,0
698,0.178211913,0
699,0.178703427,0
700,0.179342553,0
701,0.179913253,0
702,0.180487216,0
703,0.180861458,0
704,0.181466296,0
705,0.182092741,0
706,0.182801709,0
707,0.183231607,0
708,0.183860838,0
709,0.184704691,0
710,0.185144857,0
711,0.185711905,0
712,0.186319694,0
713,0.186493829,0
714,0.186851248,0
715,0.18769668,0
716,0.188383281,0
717,0.18909654,0
718,0.189551622,0
719,0.190042347,0
720,0.190661624,0
721,0.191351712,0
722,0.19176209,0
723,0.1923953,0
724,0.193044335,0
725,0.193807617,0
726,0.19421652,0
727,0.194773942,0
728,0.195650056,0
729,0.196158484,0
730,0.19664377,0
731,0.197365671,0
732,0.197943747,0
733,0.198527813,0
734,0.199035421,0
735,0.199620202,0
736,0.200087607,0
737,0.20067054,0
738,0.201549128,0
739,0.202172294,0
740,0.202669278,0
741,0.203564823,0
742,0.204092219,0
743,0.204653651,0
744,0.20517078,0
745,0.206011713,0
746,0.206903681,0
747,0.207375929,0
748,0.208046049,0
749,0.208829269,0
750,0.209424064,0
751,0.21013689,0
752,0.210605025,0
753,0.211204439,0
754,0.212242737,0
755,0.212721139,0
756,0.213058814,0
757,0.214031011,0
758,0.214980185,0
759,0.215733126,0
760,0.2160974,0
761,0.216336802,0
762,0.2172741,0
763,0.218086377,0
764,0.21895127,0
765,0.219484538,0
766,0.220482871,0
767,0.221016601,0
768,0.221518815,0
769,0.222673908,0
770,0.223180786,0
771,0.223576978,0
772,0.224488035,0
773,0.225631624,0
774,0.226099193,0
775,0.226690307,0
776,0.227826163,0
777,0.228497371,0
778,0.228916079,0
779,0.229657575,0
780,0.230226666,0
781,0.231109202,0
782,0.231883302,0
783,0.232627615,0
784,0.233223453,0
785,0.2342498,0
786,0.234986499,0
787,0.23546432,0
788,0.236481965,0
789,0.237018868,0
790,0.237793401,0
791,0.238611832,0
792,0.23981455,0
793,0.240546405,0
794,0.24008739,0
