wavelength,front_ref,transmittance
400,0.041277501,0.00223446
401,0.041286841,0.002067793
402,0.041285872,0.001911559
403,0.041315061,0.001774857
404,0.041388197,0.001664114
405,0.041467719,0.001590842
406,0.041564909,0.001545747
407,0.041676074,0.001505863
408,0.04181421,0.001470801
409,0.041941573,0.001449768
410,0.042041729,0.001421157
411,0.042127646,0.00138437
412,0.042253843,0.001353855
413,0.042396094,0.001342324
414,0.042565576,0.001336857
415,0.042709376,0.001334032
416,0.042867521,0.001338529
417,0.043012997,0.001345207
418,0.04315959,0.001358394
419,0.04331859,0.00136587
420,0.043476415,0.001364854
421,0.043605997,0.001350833
422,0.043762325,0.001338634
423,0.043919087,0.00132844
424,0.044091034,0.00133022
425,0.044276585,0.001333474
426,0.044421039,0.001326665
427,0.044498542,0.001314373
428,0.044590218,0.001307861
429,0.04470884,0.001303944
430,0.044799527,0.001290451
431,0.044876027,0.001270685
432,0.044979721,0.001254935
433,0.045071475,0.001247509
434,0.045150227,0.001241615
435,0.045216386,0.001240024
436,0.045282581,0.001238527
437,0.045336399,0.001242833
438,0.045377717,0.001252168
439,0.045419587,0.001264968
440,0.045476508,0.001288821
441,0.045537118,0.001335596
442,0.045573055,0.001393544
443,0.0456091,0.001451079
444,0.045620692,0.001520583
445,0.045648309,0.001604516
446,0.04563676,0.001691199
447,0.045626857,0.001785292
448,0.045621416,0.001901658
449,0.045607648,0.002041631
450,0.045584601,0.002198626
451,0.045565144,0.002369131
452,0.045538811,0.002566056
453,0.045514961,0.002768807
454,0.045478746,0.002970445
455,0.045444676,0.00317644
456,0.045398705,0.003383814
457,0.04537007,0.003603173
458,0.045338447,0.003805349
459,0.045293092,0.004002246
460,0.045259453,0.004189033
461,0.045209627,0.004361987
462,0.045155637,0.004516532
463,0.045100172,0.00466366
464,0.045046908,0.004817516
465,0.044998288,0.004987011
466,0.044971051,0.005134475
467,0.044929257,0.005276378
468,0.044895196,0.005396442
469,0.044887489,0.005513756
470,0.0448653,0.005626498
471,0.044847387,0.005706061
472,0.044817502,0.005790452
473,0.044799327,0.005868356
474,0.044780741,0.00594449
475,0.044759897,0.00601246
476,0.044751705,0.006077398
477,0.044737513,0.006167815
478,0.044724888,0.006263161
479,0.044711238,0.006354538
480,0.044691356,0.006470008
481,0.044683757,0.006626076
482,0.044658949,0.006813389
483,0.044642562,0.007026728
484,0.044616529,0.007294362
485,0.044605716,0.007607515
486,0.044574586,0.007980384
487,0.044550993,0.008412999
488,0.044544161,0.008930534
489,0.044530906,0.009540682
490,0.044534042,0.01022594
491,0.04454175,0.010987841
492,0.044567956,0.011861115
493,0.044611475,0.012836878
494,0.044682457,0.013900549
495,0.044788583,0.015103157
496,0.044939696,0.016427444
497,0.045148543,0.017898312
498,0.04541853,0.019516637
499,0.045745545,0.021266554
500,0.046154376,0.023198192
501,0.046636362,0.025285173
502,0.047220321,0.027551164
503,0.047906869,0.029990009
504,0.048694209,0.032623217
505,0.049604839,0.0354266
506,0.05065516,0.038455979
507,0.051868524,0.041684094
508,0.05320618,0.045092951
509,0.054721139,0.048709733
510,0.056395825,0.052525017
511,0.058263609,0.056556497
512,0.060318339,0.060815301
513,0.06256297,0.065264634
514,0.064971481,0.069852834
515,0.067598669,0.074625842
516,0.070343142,0.079481598
517,0.07324425,0.084409
518,0.076244433,0.089384643
519,0.079348937,0.094343541
520,0.082514017,0.099290722
521,0.085718963,0.104160335
522,0.088946198,0.108965643
523,0.092125615,0.113572111
524,0.095218824,0.117969147
525,0.098197616,0.1220845
526,0.101025042,0.125952803
527,0.103679403,0.129512291
528,0.106112428,0.13274545
529,0.108356674,0.135662222
530,0.110409709,0.138305779
531,0.112238055,0.140637139
532,0.113842804,0.142662701
533,0.115255856,0.14442829
534,0.116471248,0.145929181
535,0.117505187,0.147189038
536,0.118354349,0.148248207
537,0.119092012,0.149117945
538,0.119689287,0.14984717
539,0.120186564,0.150446179
540,0.120522374,0.150836255
541,0.120926103,0.151313357
542,0.121215916,0.151686353
543,0.121505647,0.152015943
544,0.121757885,0.152340129
545,0.122060578,0.152728923
546,0.122323952,0.153110184
547,0.122634702,0.153552115
548,0.122913921,0.153953461
549,0.123225839,0.154439966
550,0.123416786,0.154771471
551,0.123567756,0.155051832
552,0.123582889,0.155201766
553,0.123540361,0.155321485
554,0.123367878,0.155274594
555,0.123052358,0.155087473
556,0.122524477,0.154626584
557,0.121932903,0.154125848
558,0.121130298,0.153350597
559,0.120197683,0.152403812
560,0.11920358,0.15141656
561,0.118077273,0.150252134
562,0.116818744,0.148908597
563,0.115435057,0.147393093
564,0.113933854,0.145713438
565,0.112323266,0.143878044
566,0.110611839,0.141895843
567,0.108808424,0.139776176
568,0.106922065,0.137528675
569,0.104961936,0.135163203
570,0.102997384,0.132772196
571,0.100983689,0.130251724
572,0.099032365,0.127796517
573,0.097140922,0.125404154
574,0.095306991,0.123072335
575,0.093589829,0.120845815
576,0.091922741,0.1186729
577,0.090400446,0.116690699
578,0.088966049,0.114820396
579,0.087624749,0.113031969
580,0.0863615,0.111345357
581,0.085171966,0.109755818
582,0.084062576,0.10823536
583,0.083019237,0.106804001
584,0.08203859,0.105457997
585,0.081157596,0.104254038
586,0.080292551,0.103067767
587,0.079492215,0.101934868
588,0.07877109,0.100955392
589,0.078108908,0.100023068
590,0.077493231,0.099158127
591,0.076958738,0.098414508
592,0.076430569,0.097677992
593,0.075979767,0.097058391
594,0.075568706,0.096498371
595,0.075231263,0.096050936
596,0.074861618,0.09555226
597,0.074529403,0.095110526
598,0.074199531,0.094671302
599,0.073838068,0.094181487
600,0.073490219,0.093674069
601,0.073068353,0.093086609
602,0.072617916,0.092452215
603,0.072118167,0.091700268
604,0.071518233,0.090824083
605,0.07090653,0.089888094
606,0.070212176,0.08881594
607,0.069440225,0.087613893
608,0.068625553,0.086336353
609,0.067782553,0.084968732
610,0.066932158,0.08358125
611,0.066075889,0.08217595
612,0.06521523,0.080754839
613,0.064336702,0.079258923
614,0.063483195,0.077795658
615,0.062642979,0.076381508
616,0.061860793,0.075020865
617,0.061123073,0.073728032
618,0.060427363,0.072499889
619,0.059815338,0.071409511
620,0.059282018,0.070450346
621,0.058801972,0.06957984
622,0.058403182,0.068883157
623,0.058051541,0.068266699
624,0.057745262,0.067728102
625,0.057511943,0.067351726
626,0.057311589,0.066997727
627,0.057161224,0.066766537
628,0.057040056,0.066621651
629,0.056910672,0.066426948
630,0.056801433,0.06626775
631,0.056653589,0.066039587
632,0.056459545,0.065693689
633,0.056209614,0.065247176
634,0.055890035,0.064604973
635,0.055464169,0.063769659
636,0.054967462,0.062768269
637,0.054353295,0.061514013
638,0.053678704,0.060073138
639,0.052925936,0.05844496
640,0.052122976,0.056677872
641,0.051306729,0.054804432
642,0.050463316,0.05286483
643,0.049637142,0.050874248
644,0.048835487,0.048880821
645,0.048074175,0.046949629
646,0.047363356,0.045102094
647,0.046732898,0.043367177
648,0.046163776,0.04177689
649,0.045668189,0.040359164
650,0.045237274,0.03909912
651,0.044884008,0.037993716
652,0.044563683,0.036985158
653,0.044271193,0.035997121
654,0.043978363,0.035003341
