wavelength,front_ref,transmittance
400,0.004147,0
401,0.005054,0
402,0.006016,0
403,0.006888,0
404,0.006875,0
405,0.008255,0
406,0.007027,0
407,0.010512,0
408,0.01272,0
409,0.011861,0
410,0.011848,0
411,0.01272,0
412,0.013605,0
413,0.013609,0
414,0.015338,0
415,0.016209,0
416,0.016211,0
417,0.017079,0
418,0.018843,0
419,0.020608,0
420,0.020642,0
421,0.020621,0
422,0.022419,0
423,0.022366,0
424,0.023656,0
425,0.024504,0
426,0.025805,0
427,0.02674,0
428,0.026751,0
429,0.02979,0
430,0.02979,0
431,0.029818,0
432,0.029901,0
433,0.034183,0
434,0.031473,0
435,0.034092,0
436,0.034868,0
437,0.037453,0
438,0.037499,0
439,0.038292,0
440,0.038388,0
441,0.040415,0
442,0.041567,0
443,0.041407,0
444,0.041407,0
445,0.040364,0
446,0.043215,0
447,0.045216,0
448,0.047039,0
449,0.045462,0
450,0.048629,0
451,0.047752,0
452,0.048295,0
453,0.049298,0
454,0.052347,0
455,0.053614,0
456,0.053734,0
457,0.053934,0
458,0.052501,0
459,0.053517,0
460,0.053149,0
461,0.051922,0
462,0.053466,0
463,0.053424,0
464,0.052491,0
465,0.055447,0
466,0.05536,0
467,0.055447,0
468,0.056205,0
469,0.05625,0
470,0.056385,0
471,0.05643,0
472,0.056205,0
473,0.05616,0
474,0.05799,0
475,0.062288,0
476,0.062288,0
477,0.058852,0
478,0.06328,0
479,0.064525,0
480,0.065418,0
481,0.064629,0
482,0.066661,0
483,0.066715,0
484,0.06739,0
485,0.06739,0
486,0.06728,0
487,0.069579,0
488,0.071158,0
489,0.072052,0
490,0.07388,0
491,0.071812,0
492,0.072577,0
493,0.072577,0
494,0.074519,0
495,0.075872,0
496,0.078207,0
497,0.076335,0
498,0.079038,0
499,0.080135,0
500,0.080263,0
501,0.083737,0
502,0.084074,0
503,0.08347,0
504,0.085583,0
505,0.085309,0
506,0.085446,0
507,0.088085,0
508,0.088335,0
509,0.088126,0
510,0.088195,0
511,0.091016,0
512,0.09133,0
513,0.094053,0
514,0.095872,0
515,0.096023,0
